time,msec,request_id,ip,client_ip,server_addr,server_port,method,uri,path,query,protocol,status,body_bytes_sent,request_length,request_time,upstream_response_time,upstream_addr,upstream,upstream_status,user_agent,referer,content_type,body_hash,host,iat,rpm_60,size,ssl_cipher,ssl_protocol,x_forwarded_for
04/Dec/2025:11:16:25 +0000,,,172.18.0.1,,,,GET,/juice/,,,HTTP/1.1,200,,,0.059,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,-,,,,,,8985,,,
04/Dec/2025:11:16:25 +0000,,,172.18.0.1,,,,GET,/juice/runtime.js,,,HTTP/1.1,200,,,0.076,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,1741,,,
04/Dec/2025:11:16:25 +0000,,,172.18.0.1,,,,GET,/juice/polyfills.js,,,HTTP/1.1,200,,,0.079,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,13008,,,
04/Dec/2025:11:16:25 +0000,,,172.18.0.1,,,,GET,/juice/main.js,,,HTTP/1.1,200,,,0.190,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,97415,,,
04/Dec/2025:11:16:26 +0000,,,172.18.0.1,,,,GET,/juice/styles.css,,,HTTP/1.1,200,,,0.041,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,44326,,,
04/Dec/2025:11:16:26 +0000,,,172.18.0.1,,,,GET,/juice/vendor.js,,,HTTP/1.1,200,,,0.322,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,453162,,,
04/Dec/2025:11:16:26 +0000,,,172.18.0.1,,,,GET,/juice/socket.io/?EIO=4&transport=polling&t=Phf4-Hg,,,HTTP/1.1,200,,,0.003,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,96,,,
04/Dec/2025:11:16:26 +0000,,,172.18.0.1,,,,GET,/juice/assets/i18n/en.json,,,HTTP/1.1,200,,,0.017,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,12263,,,
04/Dec/2025:11:16:26 +0000,,,172.18.0.1,,,,GET,/juice/rest/admin/application-version,,,HTTP/1.1,200,,,0.021,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,20,,,
04/Dec/2025:11:16:26 +0000,,,172.18.0.1,,,,GET,/juice/rest/admin/application-configuration,,,HTTP/1.1,200,,,0.117,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,8480,,,
04/Dec/2025:11:16:26 +0000,,,172.18.0.1,,,,GET,/juice/rest/admin/application-version,,,HTTP/1.1,200,,,0.115,,,172.18.0.2:3000,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0,http://localhost:8085/juice/,,,,,,20,,,
