index,reconstruction_error,label,pred
0,6.97929208399728e-05,1,1
1,4.898417682852596e-05,0,0
2,4.501346484175883e-05,0,0
3,3.185650348314084e-05,0,0
4,8.226116187870502e-05,1,1
5,3.7621764931827784e-05,0,0
6,2.1593505152850412e-05,0,0
7,2.7533944376045838e-05,0,0
8,3.997601743321866e-05,0,0
9,4.970456211594865e-05,0,0
10,4.627846647053957e-05,0,0
11,3.645654578576796e-05,0,0
12,3.0227500246837735e-05,0,0
13,4.717229603556916e-05,0,0
14,7.485646347049624e-05,1,1
15,4.073118179803714e-05,0,0
16,2.5951307179639116e-05,0,0
17,4.541002999758348e-05,0,0
18,3.5248929634690285e-05,0,0
19,3.8242909795371816e-05,0,0
20,3.5074466723017395e-05,0,0
21,0.00017271882097702473,0,1
22,3.9816732169128954e-05,0,0
23,5.1050032197963446e-05,1,0
24,5.862265243194997e-05,0,0
25,8.811751467874274e-05,1,1
26,7.978523353813216e-05,1,1
27,8.129743218887597e-05,1,1
28,6.19174970779568e-05,1,0
29,4.435555456439033e-05,0,0
30,3.5427896364126354e-05,0,0
31,4.0575214370619506e-05,0,0
32,2.6842308216146193e-05,0,0
33,5.149945354787633e-05,0,0
34,5.7421399105805904e-05,0,0
35,3.061891402467154e-05,0,0
36,5.9607886214507744e-05,0,0
37,6.081275569158606e-05,1,0
38,5.449805757962167e-05,1,0
39,2.9853643354726955e-05,0,0
40,7.160350651247427e-05,1,1
41,7.190974429249763e-05,1,1
42,3.2540265237912536e-05,0,0
43,3.097980152233504e-05,0,0
44,5.696809239452705e-05,1,0
45,6.1031736549921334e-05,1,0
46,3.1179461075225845e-05,0,0
47,3.779534745262936e-05,0,0
48,2.6740537578007206e-05,0,0
49,8.322112262248993e-05,1,1
50,3.8142199628055096e-05,0,0
51,6.951761315576732e-05,1,1
52,4.291292134439573e-05,0,0
53,5.3986859711585566e-05,0,0
54,8.313932630699128e-05,1,1
55,3.451280645094812e-05,0,0
56,3.718365769600496e-05,0,0
57,2.6036541385110468e-05,0,0
58,4.493879896472208e-05,0,0
59,5.4544827435165644e-05,1,0
60,5.494353536050767e-05,0,0
61,3.1628496799385175e-05,0,0
62,7.219926919788122e-05,1,1
63,2.7703161322278902e-05,0,0
64,3.327986632939428e-05,0,0
65,3.8369289541151375e-05,0,0
66,7.251071656355634e-05,1,1
67,3.580536213121377e-05,0,0
68,3.607133839977905e-05,0,0
69,2.9832406653440557e-05,0,0
70,2.526717071305029e-05,0,0
71,2.0638672140194103e-05,0,0
72,3.0429884645855054e-05,0,0
73,5.637794311041944e-05,1,0
74,3.0302617233246565e-05,0,0
75,4.3660074879880995e-05,0,0
76,6.821495480835438e-05,1,1
77,8.970006456365809e-05,1,1
78,5.80996202188544e-05,0,0
79,7.126406853785738e-05,0,1
80,5.3867952374275774e-05,0,0
81,3.6217250453773886e-05,0,0
82,4.7271576477214694e-05,0,0
83,3.0571198294637725e-05,0,0
84,5.440280074253678e-05,0,0
85,5.0381313485559076e-05,1,0
86,3.479523729765788e-05,0,0
87,6.704855331918225e-05,1,1
88,5.090740887681022e-05,0,0
89,4.531499507720582e-05,0,0
90,4.966449341736734e-05,0,0
91,5.6631579354871064e-05,0,0
92,4.574290869641118e-05,0,0
93,4.744876059703529e-05,1,0
94,6.0025846323696896e-05,1,0
95,3.533152266754769e-05,0,0
96,5.823828905704431e-05,1,0
97,8.126381726469845e-05,1,1
98,5.694136052625254e-05,0,0
99,3.2712465326767415e-05,0,0
100,9.605984087102115e-05,1,1
101,4.719686694443226e-05,0,0
102,2.5987674234784208e-05,0,0
103,5.0999246013816446e-05,1,0
104,2.396945455984678e-05,0,0
105,3.672474849736318e-05,0,0
106,3.420638313400559e-05,0,0
107,4.8389843868790194e-05,0,0
108,2.6776167942443863e-05,0,0
109,3.570465196389705e-05,0,0
110,5.358391717891209e-05,1,0
111,5.68371542613022e-05,1,0
112,5.729439726565033e-05,1,0
113,3.676833148347214e-05,0,0
114,2.956230855488684e-05,0,0
115,5.322622018866241e-05,0,0
116,6.043159373803064e-05,1,0
117,3.766157533391379e-05,0,0
118,5.429825250757858e-05,0,0
119,5.801429506391287e-05,1,0
120,4.6853685489622876e-05,1,0
121,3.244098843424581e-05,0,0
122,5.5843072914285585e-05,1,0
123,3.3452546631451696e-05,0,0
124,3.7584199162665755e-05,0,0
125,3.041119452973362e-05,0,0
126,5.54432044737041e-05,0,0
127,4.012295539723709e-05,0,0
128,6.47879351163283e-05,1,1
129,2.719410986173898e-05,0,0
130,4.073006857652217e-05,0,0
131,5.091138154966757e-05,0,0
132,8.117450488498434e-05,1,1
133,5.08459925185889e-05,1,0
134,2.324315209989436e-05,0,0
135,5.620390220428817e-05,1,0
136,6.556134758284315e-05,1,1
137,5.296089148032479e-05,1,0
138,5.8011835790239275e-05,0,0
139,5.787007830804214e-05,1,0
140,2.805133772199042e-05,0,0
141,4.098449062439613e-05,0,0
142,3.0938525014789775e-05,0,0
143,5.3282929002307355e-05,1,0
144,2.723919715208467e-05,0,0
145,5.756450627814047e-05,1,0
146,5.702026828657836e-05,1,0
147,5.104337105876766e-05,0,0
148,2.8216974897077307e-05,0,0
149,2.815193874994293e-05,0,0
150,4.112600436201319e-05,0,0
151,3.46303240803536e-05,0,0
152,2.9844608434359543e-05,0,0
153,3.1129551643971354e-05,0,0
154,3.1333824153989553e-05,0,0
155,4.413626083987765e-05,0,0
156,3.8581867556786165e-05,0,0
157,3.238943463657051e-05,0,0
158,7.759725849609822e-05,1,1
159,3.9325488614849746e-05,0,0
160,5.9104320826008916e-05,1,0
161,4.327815258875489e-05,0,0
162,3.9801343518774956e-05,0,0
163,2.2425134375225753e-05,0,0
164,4.2959494749084115e-05,0,0
165,3.893345274263993e-05,0,0
166,6.49468565825373e-05,1,1
167,3.526590808178298e-05,0,0
168,3.01902382489061e-05,0,0
169,2.5716737582115456e-05,0,0
170,6.2183738918975e-05,1,0
