time,msec,client_ip,host,method,uri,path,query,protocol,status,body_bytes_sent,request_length,request_time,upstream_response_time,upstream_addr,user_agent,referer,content_type,x_forwarded_for,ssl_protocol,ssl_cipher,label
2025-12-10T20:48:08.841422,1765379888841,243.87.246.107,shop.example.com,GET,/product/123,/product/123,1; DROP TABLE users;,HTTP/1.1,500,3419,2723,4.375,1.572,170.192.56:15901,python-requests/2.25.1,-,application/json,-,-,-,1
2025-12-11T05:39:32.841422,1765411772841,197.1.74.78,alpha-triradiate-adalberto.ngrok-free.dev,GET,/profile,/profile,q=879,HTTP/1.1,200,1023,955,0.178,0.372,74.85.97:8854,PostmanRuntime/7.28.4,-,application/json,-,-,-,0
2025-12-11T02:38:04.841422,1765400884841,196.12.196.145,shop.example.com,POST,/dashboard,/dashboard,q=442,HTTP/1.1,200,6375,715,0.971,0.031,172.18.0.5:80,curl/7.68.0,https://google.com,application/x-www-form-urlencoded,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T16:09:13.841422,1765449553841,122.155.200.122,shop.example.com,POST,/dashboard,/dashboard,-,HTTP/2.0,200,4593,1137,0.647,0.382,54.113.254:9409,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,text/html,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T19:13:56.841422,1765460636841,240.65.69.63,shop.example.com,GET,"/""_onmouseover=""alert('XSS')""","/""_onmouseover=""alert('XSS')""",-,HTTP/1.1,200,3534,4146,1.582,2.732,47.171.233:28934,sqlmap/1.5.6 (http://sqlmap.org),-,application/json,524:26cf:2bab:636b:40ef:9f75:6c2b:9fcb,-,-,1
2025-12-11T20:06:08.841422,1765463768841,4.96.109.24,alpha-triradiate-adalberto.ngrok-free.dev,GET,/dashboard,/dashboard,q=984,HTTP/1.1,200,5276,590,0.064,0.052,172.18.0.5:80,PostmanRuntime/7.28.4,-,application/json,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T15:19:35.841422,1765446575841,138.251.117.124,example.com,GET,/dashboard,/dashboard,q=539,HTTP/1.1,200,2059,1123,0.195,0.165,172.18.0.5:80,curl/7.68.0,-,application/x-www-form-urlencoded,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T05:57:28.841422,1765412848841,201.184.112.31,shop.example.com,GET,/search,/search,q=384,HTTP/2.0,200,7378,1978,0.354,0.486,172.18.0.5:80,PostmanRuntime/7.28.4,-,-,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T04:29:13.841422,1765407553841,104.131.7.182,alpha-triradiate-adalberto.ngrok-free.dev,POST,/api/v1/user,/api/v1/user,-,HTTP/1.1,200,6413,1465,0.798,0.074,22.158.217:17682,PostmanRuntime/7.28.4,-,application/x-www-form-urlencoded,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T14:06:42.841422,1765442202841,63.173.155.251,example.com,GET,/product/123,/product/123,q=27,HTTP/2.0,200,7324,1082,0.203,0.013,144.193.192:25764,PostmanRuntime/7.28.4,https://google.com,-,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-10T21:29:45.841422,1765382385841,108.0.253.47,shop.example.com,GET,/login,/login,q=219,HTTP/1.1,200,3250,1736,0.233,0.154,172.18.0.5:80,curl/7.68.0,-,text/html,-,-,-,0
2025-12-11T20:12:57.841422,1765464177841,119.55.119.56,example.com,GET,/dvwa/login.php,/dvwa/login.php,-,HTTP/2.0,200,643,1644,0.549,0.037,172.18.0.5:80,curl/7.68.0,-,text/html,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T12:42:48.841422,1765437168841,60.60.55.225,example.com,GET,/dvwa/login.php,/dvwa/login.php,q=703,HTTP/1.1,200,6493,1297,0.903,0.425,172.18.0.5:80,PostmanRuntime/7.28.4,-,-,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T11:20:37.841422,1765432237841,183.98.100.107,alpha-triradiate-adalberto.ngrok-free.dev,POST,/dashboard,/dashboard,q=462,HTTP/1.1,200,6123,1543,0.847,0.044,135.46.94:6940,curl/7.68.0,-,text/html,-,-,-,0
2025-12-11T06:19:45.841422,1765414185841,66.242.90.38,alpha-triradiate-adalberto.ngrok-free.dev,GET,/checkout,/checkout,| cat /etc/passwd,HTTP/2.0,200,1660,1886,3.845,1.616,75.127.37:13938,sqlmap/1.5.6 (http://sqlmap.org),-,application/json,54ce:984:e7ca:7ec2:36b6:ef08:b7c2:7952,-,-,1
2025-12-11T11:34:20.841422,1765433060841,212.33.23.50,shop.example.com,GET,/dvwa/login.php,/dvwa/login.php,-,HTTP/1.1,200,6106,993,0.326,0.023,108.133.112:18285,PostmanRuntime/7.28.4,-,text/html,-,-,-,0
2025-12-11T19:32:46.841422,1765461766841,113.3.139.170,alpha-triradiate-adalberto.ngrok-free.dev,GET,/product/123,/product/123,q=284,HTTP/1.1,200,1627,1286,0.326,0.394,172.18.0.5:80,PostmanRuntime/7.28.4,https://google.com,-,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T04:56:12.841422,1765409172841,207.194.119.157,shop.example.com,GET,/cart/add,/cart/add,q=376,HTTP/2.0,200,3134,320,0.681,0.208,172.18.0.5:80,PostmanRuntime/7.28.4,-,-,-,-,-,0
2025-12-10T22:33:16.841422,1765386196841,215.36.153.91,example.com,POST,/product/123,/product/123,-,HTTP/1.1,404,3238,700,0.178,0.121,47.191.81:19367,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,text/html,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T16:26:14.841422,1765450574841,130.120.183.255,alpha-triradiate-adalberto.ngrok-free.dev,GET,/login,/login,q=676,HTTP/1.1,200,2804,1930,0.439,0.339,136.176.22:58296,curl/7.68.0,-,application/x-www-form-urlencoded,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T14:39:36.841422,1765444176841,151.48.125.94,alpha-triradiate-adalberto.ngrok-free.dev,POST,/product/123,/product/123,q=993,HTTP/2.0,200,7682,986,0.169,0.228,172.18.0.5:80,curl/7.68.0,-,application/x-www-form-urlencoded,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T07:19:59.841422,1765417799841,126.27.141.60,alpha-triradiate-adalberto.ngrok-free.dev,GET,/api/v1/user,/api/v1/user,q=326,HTTP/1.1,200,1216,489,0.794,0.131,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,https://google.com,-,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T00:44:43.841422,1765394083841,49.179.198.6,shop.example.com,GET,/search,/search,-,HTTP/2.0,200,6027,1647,0.848,0.137,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,text/html,-,-,-,0
2025-12-11T02:03:55.841422,1765398835841,98.222.98.37,alpha-triradiate-adalberto.ngrok-free.dev,POST,/cart/add,/cart/add,..%2F..%2F..%2Fetc%2Fpasswd,HTTP/1.1,400,1951,2108,4.51,2.833,127.209.133:32243,sqlmap/1.5.6 (http://sqlmap.org),-,application/json,-,-,-,1
2025-12-11T19:59:22.841422,1765463362841,207.229.161.105,alpha-triradiate-adalberto.ngrok-free.dev,GET,/dashboard,/dashboard,-,HTTP/2.0,200,1034,211,0.622,0.138,172.18.0.5:80,curl/7.68.0,-,application/json,-,-,-,0
2025-12-11T07:16:33.841422,1765417593841,240.65.69.63,alpha-triradiate-adalberto.ngrok-free.dev,GET,/profile,/profile,; rm -rf /,HTTP/2.0,200,776,609,2.939,1.064,107.167.38:7596,python-requests/2.25.1,-,application/json,b380:89c5:b3fa:16b0:50d2:7874:6911:6ecb,-,-,1
2025-12-11T19:23:01.841422,1765461181841,78.58.145.221,alpha-triradiate-adalberto.ngrok-free.dev,GET,/profile,/profile,<script>alert(1)</script>,HTTP/2.0,403,664,2306,2.702,2.607,200.32.196:4016,sqlmap/1.5.6 (http://sqlmap.org),-,-,a926:ba74:fabd:4aed:4e7f:1798:1697:712,-,-,1
2025-12-11T18:45:49.841422,1765458949841,196.77.71.18,shop.example.com,POST,/checkout,/checkout,' UNION SELECT * FROM users --,HTTP/2.0,403,1068,5445,0.984,2.614,172.18.0.5:80,sqlmap/1.5.6 (http://sqlmap.org),-,-,-,-,-,1
2025-12-11T00:17:24.841422,1765392444841,243.87.246.107,alpha-triradiate-adalberto.ngrok-free.dev,POST,/search,/search,; rm -rf /,HTTP/1.1,500,100,817,1.678,2.649,68.87.244:31200,nikto/2.1.6,https://malicious.example,-,-,-,-,1
2025-12-10T23:44:14.841422,1765390454841,188.220.245.173,shop.example.com,POST,/api/v1/user,/api/v1/user,-,HTTP/2.0,200,5170,318,0.457,0.086,127.45.38:12247,curl/7.68.0,-,application/json,-,-,-,0
2025-12-11T14:31:29.841422,1765443689841,8.228.185.51,alpha-triradiate-adalberto.ngrok-free.dev,POST,/profile,/profile,-,HTTP/2.0,200,5387,1905,0.857,0.486,28.207.69:58161,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,-,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T20:38:58.841422,1765465738841,112.83.49.48,alpha-triradiate-adalberto.ngrok-free.dev,GET,/dvwa/login.php,/dvwa/login.php,-,HTTP/1.1,404,1020,208,0.213,0.331,24.130.158:20775,PostmanRuntime/7.28.4,-,application/x-www-form-urlencoded,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T14:21:34.841422,1765443094841,63.120.206.188,example.com,GET,/cart/add,/cart/add,-,HTTP/1.1,200,3083,1187,0.715,0.259,172.18.0.5:80,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,application/x-www-form-urlencoded,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T14:49:57.841422,1765444797841,36.45.137.245,example.com,GET,/search,/search,q=973,HTTP/1.1,200,1896,687,0.521,0.171,105.166.255:7905,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,https://google.com,application/json,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T20:43:52.841422,1765466032841,6.73.10.236,alpha-triradiate-adalberto.ngrok-free.dev,POST,/dvwa/login.php,/dvwa/login.php,-,HTTP/2.0,200,361,1111,0.685,0.368,172.18.0.5:80,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,text/html,-,-,-,0
2025-12-11T09:13:27.841422,1765424607841,207.7.175.130,shop.example.com,POST,/search,/search,-,HTTP/2.0,200,6356,1288,0.095,0.084,45.201.92:11911,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,-,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T00:01:42.841422,1765391502841,214.33.58.9,example.com,GET,/api/v1/user,/api/v1/user,q=550,HTTP/1.1,200,6233,698,0.904,0.336,126.199.191:10641,PostmanRuntime/7.28.4,https://google.com,application/json,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T19:13:14.841422,1765460594841,165.71.118.252,alpha-triradiate-adalberto.ngrok-free.dev,GET,/dashboard,/dashboard,<script>alert(1)</script>,HTTP/2.0,500,3854,777,1.833,0.376,130.185.146:37225,python-requests/2.25.1,-,application/x-www-form-urlencoded,-,-,-,1
2025-12-11T18:55:10.841422,1765459510841,66.242.90.38,alpha-triradiate-adalberto.ngrok-free.dev,POST,/search,/search,1; DROP TABLE users;,HTTP/1.1,200,3721,1690,1.898,2.244,28.239.170:6899,nikto/2.1.6,-,application/x-www-form-urlencoded,-,-,-,1
2025-12-11T08:34:23.841422,1765422263841,99.193.42.107,alpha-triradiate-adalberto.ngrok-free.dev,POST,/login,/login,-,HTTP/2.0,200,461,1053,0.323,0.109,84.37.246:33657,curl/7.68.0,https://google.com,-,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-10T23:00:41.841422,1765387841841,191.210.206.108,alpha-triradiate-adalberto.ngrok-free.dev,POST,/login,/login,""" onmouseover=""alert('XSS')""",HTTP/2.0,403,313,3203,4.32,2.400,158.203.254:34749,python-requests/2.25.1,-,-,-,-,-,1
2025-12-11T15:26:40.841422,1765447000841,188.246.116.214,alpha-triradiate-adalberto.ngrok-free.dev,POST,/api/v1/user,/api/v1/user,admin' --,HTTP/2.0,403,96,1550,0.919,0.305,172.18.0.5:80,masscan/1.0,https://malicious.example,application/json,-,-,-,1
2025-12-10T20:47:59.841422,1765379879841,159.144.138.209,example.com,POST,/login,/login,q=728,HTTP/2.0,200,3674,541,0.683,0.363,180.116.221:36446,curl/7.68.0,-,text/html,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T15:22:25.841422,1765446745841,37.55.109.46,shop.example.com,POST,/checkout,/checkout,-,HTTP/1.1,200,4245,1093,0.77,0.058,128.208.39:51367,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,-,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T20:31:53.841422,1765465313841,77.162.183.159,example.com,POST,/checkout,/checkout,; rm -rf /,HTTP/1.1,403,3597,4400,1.268,1.833,172.18.0.5:80,masscan/1.0,-,application/json,2f8a:872f:72a7:1b7a:b77b:77cf:a0d5:1bb0,-,-,1
2025-12-11T15:42:40.841422,1765447960841,14.197.242.138,shop.example.com,GET,/dvwa/login.php,/dvwa/login.php,' OR 1=1 --,HTTP/1.1,404,2287,2185,2.326,0.192,172.18.0.5:80,sqlmap/1.5.6 (http://sqlmap.org),-,application/json,-,-,-,1
2025-12-11T20:24:44.841422,1765464884841,48.63.11.158,example.com,GET,/product/123,/product/123,q=887,HTTP/1.1,200,491,1013,0.608,0.424,172.18.0.5:80,PostmanRuntime/7.28.4,-,application/json,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T19:44:10.841422,1765462450841,185.55.221.178,alpha-triradiate-adalberto.ngrok-free.dev,GET,/dashboard,/dashboard,-,HTTP/1.1,404,2793,1039,0.584,0.280,162.157.10:10609,curl/7.68.0,-,application/x-www-form-urlencoded,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T09:31:22.841422,1765425682841,237.157.111.97,shop.example.com,POST,/api/v1/user,/api/v1/user,q=590,HTTP/1.1,200,2727,1212,0.895,0.435,128.13.35:7676,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,application/json,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T11:23:36.841422,1765432416841,1.61.182.209,alpha-triradiate-adalberto.ngrok-free.dev,POST,/..%2F..%2F..%2Fetc%2Fpasswd,/..%2F..%2F..%2Fetc%2Fpasswd,-,HTTP/2.0,403,2055,3625,0.484,1.661,172.18.0.5:80,masscan/1.0,-,text/html,7941:11b2:52bf:379:fb0d:686d:a3dd:2118,-,-,1
2025-12-11T06:49:18.841422,1765415958841,56.79.84.166,alpha-triradiate-adalberto.ngrok-free.dev,GET,/search,/search,q=460,HTTP/2.0,200,2326,1030,0.033,0.359,172.18.0.5:80,curl/7.68.0,https://google.com,-,-,-,-,0
2025-12-11T18:51:49.841422,1765459309841,78.58.145.221,example.com,POST,/search,/search,""" onmouseover=""alert('XSS')""",HTTP/2.0,404,3856,3983,2.052,0.794,162.180.252:26787,python-requests/2.25.1,-,application/x-www-form-urlencoded,-,-,-,1
2025-12-11T17:07:00.841422,1765453020841,12.224.199.150,alpha-triradiate-adalberto.ngrok-free.dev,GET,/login,/login,q=238,HTTP/2.0,200,5902,1418,0.937,0.131,172.18.0.5:80,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,text/html,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T05:58:29.841422,1765412909841,151.171.104.64,alpha-triradiate-adalberto.ngrok-free.dev,POST,/cart/add,/cart/add,q=256,HTTP/2.0,200,849,1310,0.604,0.277,37.146.202:9462,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,-,-,-,-,0
2025-12-11T10:09:47.841422,1765427987841,134.204.208.82,alpha-triradiate-adalberto.ngrok-free.dev,POST,/cart/add,/cart/add,<script>alert(1)</script>,HTTP/1.1,403,166,4477,1.621,2.185,46.96.103:1664,python-requests/2.25.1,-,-,89fb:9a64:86c0:601b:2707:c096:eae7:ae4d,-,-,1
2025-12-11T13:34:06.841422,1765440246841,50.173.233.140,shop.example.com,GET,/dvwa/login.php,/dvwa/login.php,q=989,HTTP/2.0,200,7069,600,0.602,0.314,55.186.103:23817,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/143.0.0.0 Safari/537.36,-,-,-,TLSv1.3,ECDHE-RSA-AES128-GCM-SHA256,0
2025-12-11T12:24:28.841422,1765436068841,135.145.213.110,alpha-triradiate-adalberto.ngrok-free.dev,POST,/checkout,/checkout,q=11,HTTP/1.1,404,7584,205,0.995,0.263,127.10.75:38654,PostmanRuntime/7.28.4,-,-,-,TLSv1.3,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T04:05:22.841422,1765406122841,125.226.156.113,shop.example.com,GET,/product/123,/product/123,-,HTTP/2.0,200,5490,1049,0.692,0.306,172.18.0.5:80,Mozilla/5.0 (X11; Linux x86_64) Chrome/120.0.0.0 Safari/537.36,-,application/json,-,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0
2025-12-11T20:11:03.841422,1765464063841,67.114.31.9,shop.example.com,POST,/api/v1/user,/api/v1/user,-,HTTP/2.0,200,3069,229,0.932,0.075,31.73.86:60330,PostmanRuntime/7.28.4,-,application/json,-,-,-,0
2025-12-11T01:25:54.841422,1765396554841,78.58.145.221,shop.example.com,GET,/profile,/profile,' OR 1=1 --,HTTP/2.0,403,2707,4742,1.428,2.112,172.18.0.5:80,masscan/1.0,-,text/html,-,-,-,1
